,0,1,2,3,4,5,6,7
0,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,43,43,38:17:c3:c8:01:da,1
1,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,41,43,b4:5d:50:ce:2e:8a,0
2,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,44,43,b4:5d:50:ce:2e:8a,1
3,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,43,44,b4:5d:50:ce:2e:8a,0
4,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,44,44,38:17:c3:c8:01:da,1
5,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,45,41,b4:5d:50:ce:2e:8a,1
6,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,44,44,b4:5d:50:ce:2e:8a,1
7,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,42,42,b4:5d:50:ce:2e:8a,1
8,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,42,43,b4:5d:50:ce:2e:8a,0
9,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,42,42,b4:5d:50:ce:2e:8a,1
10,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,42,42,b4:5d:50:ce:2e:8a,1
11,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,41,43,38:17:c3:c8:01:da,1
12,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,43,40,b4:5d:50:ce:2e:8a,1
13,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,42,43,b4:5d:50:ce:2e:8a,0
14,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,43,43,b4:5d:50:ce:2e:8a,1
15,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,42,38,38:17:c3:c8:01:da,1
16,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,46,40,b4:5d:50:ce:2e:8a,1
17,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,43,41,b4:5d:50:ce:2e:8a,1
18,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,40,47,b4:5d:50:ce:2e:8a,0
19,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,39,42,b4:5d:50:ce:2e:8a,0
20,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,39,45,b4:5d:50:ce:2e:8a,0
21,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,37,42,b4:5d:50:ce:2e:8a,0
22,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,39,43,b4:5d:50:ce:2e:8a,0
23,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,37,40,b4:5d:50:ce:2e:8a,0
24,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,38,43,b4:5d:50:ce:2e:8a,0
25,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,39,39,b4:5d:50:ce:2e:8a,1
26,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,39,42,38:17:c3:c8:01:da,1
27,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,41,36,b4:5d:50:ce:2e:8a,1
28,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,38,43,b4:5d:50:ce:2e:8a,0
29,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,39,46,b4:5d:50:ce:2e:8a,0
30,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,42,46,38:17:c3:c8:01:da,1
31,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,39,38,38:17:c3:c8:01:da,1
32,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,45,42,38:17:c3:c8:01:da,1
33,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,43,38:17:c3:c8:01:da,0
34,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,48,38:17:c3:c8:01:da,0
35,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,47,50,38:17:c3:c8:01:da,0
36,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,52,38:17:c3:c8:01:da,0
37,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,52,38:17:c3:c8:01:da,0
38,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,41,51,38:17:c3:c8:01:da,0
39,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,52,38:17:c3:c8:01:da,0
40,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,52,38:17:c3:c8:01:da,0
41,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,53,38:17:c3:c8:01:da,0
42,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,53,38:17:c3:c8:01:da,0
43,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,41,53,38:17:c3:c8:01:da,0
44,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,52,38:17:c3:c8:01:da,0
45,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,48,-1,b4:5d:50:ce:2e:8a,1
46,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,51,38:17:c3:c8:01:da,0
47,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,46,48,b4:5d:50:ce:2e:8a,0
48,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,51,38:17:c3:c8:01:da,0
49,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,45,47,b4:5d:50:ce:2e:8a,0
50,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,52,38:17:c3:c8:01:da,0
51,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,48,b4:5d:50:ce:2e:8a,0
52,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,53,38:17:c3:c8:01:da,0
53,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,50,b4:5d:50:ce:2e:8a,0
54,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,53,38:17:c3:c8:01:da,0
55,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,51,b4:5d:50:ce:2e:8a,0
56,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,52,38:17:c3:c8:01:da,0
57,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,43,51,b4:5d:50:ce:2e:8a,0
58,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,51,38:17:c3:c8:01:da,0
59,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,50,b4:5d:50:ce:2e:8a,0
60,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,51,38:17:c3:c8:01:da,0
61,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,51,b4:5d:50:ce:2e:8a,0
62,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,44,-1,38:17:c3:c8:01:da,1
63,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,45,50,b4:5d:50:ce:2e:8a,0
64,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
65,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,43,50,b4:5d:50:ce:2e:8a,0
66,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
67,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,51,b4:5d:50:ce:2e:8a,0
68,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
69,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,50,b4:5d:50:ce:2e:8a,0
70,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
71,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,47,48,b4:5d:50:ce:2e:8a,0
72,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
73,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,45,47,b4:5d:50:ce:2e:8a,0
74,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,-1,38:17:c3:c8:01:da,1
75,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,47,48,38:17:c3:c8:01:da,1
76,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,40,-1,38:17:c3:c8:01:da,1
77,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,43,b4:5d:50:ce:2e:8a,1
78,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,48,50,b4:5d:50:ce:2e:8a,0
79,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,43,-1,38:17:c3:c8:01:da,1
80,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,44,49,b4:5d:50:ce:2e:8a,0
81,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,54,38:17:c3:c8:01:da,0
82,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,45,48,b4:5d:50:ce:2e:8a,0
83,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,44,51,38:17:c3:c8:01:da,0
84,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,43,47,b4:5d:50:ce:2e:8a,0
85,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,45,53,38:17:c3:c8:01:da,0
86,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,46,53,38:17:c3:c8:01:da,1
87,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,45,53,38:17:c3:c8:01:da,0
88,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,51,b4:5d:50:ce:2e:8a,1
89,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,51,47,38:17:c3:c8:01:da,1
90,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,45,54,38:17:c3:c8:01:da,0
91,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,51,38:17:c3:c8:01:da,0
92,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,51,38:17:c3:c8:01:da,0
93,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,50,48,38:17:c3:c8:01:da,1
94,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,50,38:17:c3:c8:01:da,0
95,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,46,b4:5d:50:ce:2e:8a,1
96,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,50,46,38:17:c3:c8:01:da,1
97,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,42,55,38:17:c3:c8:01:da,0
98,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,49,38:17:c3:c8:01:da,0
99,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,53,b4:5d:50:ce:2e:8a,1
100,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,45,48,38:17:c3:c8:01:da,1
101,8c:85:90:b1:d0:3b,unknown,38:17:c3:c8:01:da,AC,45,55,38:17:c3:c8:01:da,0
102,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,44,38:17:c3:c8:01:da,1
103,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,52,45,38:17:c3:c8:01:da,1
104,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,46,38:17:c3:c8:01:da,1
105,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,45,47,38:17:c3:c8:01:da,0
106,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,47,45,38:17:c3:c8:01:da,1
107,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,48,38:17:c3:c8:01:da,0
108,3c:6a:a7:27:9d:b3,Windows,38:17:c3:c8:01:da,AC,48,44,38:17:c3:c8:01:da,1
109,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,46,38:17:c3:c8:01:da,1
110,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
111,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,53,45,38:17:c3:c8:01:da,1
112,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,45,47,38:17:c3:c8:01:da,0
113,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,60,45,38:17:c3:c8:01:da,1
114,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
115,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,55,45,38:17:c3:c8:01:da,1
116,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,50,38:17:c3:c8:01:da,0
117,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,50,46,38:17:c3:c8:01:da,1
118,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,49,38:17:c3:c8:01:da,1
119,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,52,45,38:17:c3:c8:01:da,1
120,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,49,38:17:c3:c8:01:da,0
121,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,49,38:17:c3:c8:01:da,0
122,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,48,38:17:c3:c8:01:da,0
123,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,50,44,38:17:c3:c8:01:da,1
124,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,49,38:17:c3:c8:01:da,0
125,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
126,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
127,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,49,48,38:17:c3:c8:01:da,1
128,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,51,46,38:17:c3:c8:01:da,1
129,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,48,38:17:c3:c8:01:da,0
130,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,50,38:17:c3:c8:01:da,0
131,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,45,47,38:17:c3:c8:01:da,0
132,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,45,47,38:17:c3:c8:01:da,0
133,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,48,38:17:c3:c8:01:da,0
134,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,49,38:17:c3:c8:01:da,0
135,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,50,38:17:c3:c8:01:da,0
136,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,50,38:17:c3:c8:01:da,0
137,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,51,55,38:17:c3:c8:01:da,0
138,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,48,38:17:c3:c8:01:da,0
139,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,54,44,38:17:c3:c8:01:da,1
140,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,53,45,38:17:c3:c8:01:da,1
141,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,49,38:17:c3:c8:01:da,0
142,8c:85:90:b1:d0:3b,unknown,b4:5d:50:ce:2e:8a,AC,55,43,38:17:c3:c8:01:da,1
143,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,48,38:17:c3:c8:01:da,0
144,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,47,38:17:c3:c8:01:da,0
145,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,52,44,38:17:c3:c8:01:da,1
146,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,47,38:17:c3:c8:01:da,1
147,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,48,38:17:c3:c8:01:da,1
148,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,53,41,38:17:c3:c8:01:da,1
149,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,GN,51,45,38:17:c3:c8:01:da,1
150,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
151,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,51,38:17:c3:c8:01:da,0
152,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,50,38:17:c3:c8:01:da,0
153,8c:85:90:b1:d0:3b,OS-X,b4:5d:50:ce:2e:8a,AC,52,42,38:17:c3:c8:01:da,1
154,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,49,38:17:c3:c8:01:da,0
155,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,46,38:17:c3:c8:01:da,1
156,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,49,38:17:c3:c8:01:da,0
157,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,48,48,38:17:c3:c8:01:da,1
158,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,47,38:17:c3:c8:01:da,0
159,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,48,38:17:c3:c8:01:da,0
160,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,46,48,38:17:c3:c8:01:da,0
161,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,47,48,38:17:c3:c8:01:da,0
162,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,47,38:17:c3:c8:01:da,1
163,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,55,48,38:17:c3:c8:01:da,1
164,3c:6a:a7:27:9d:b3,Win-10,38:17:c3:c8:01:da,AC,49,47,b4:5d:50:ce:2e:8a,1
165,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,50,53,b4:5d:50:ce:2e:8a,0
166,14:f6:5a:b3:e7:f1,Android,38:17:c3:c8:01:da,GN,41,53,b4:5d:50:ce:2e:8a,1
167,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,50,52,b4:5d:50:ce:2e:8a,0
168,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,59,65,38:17:c3:c8:01:da,0
169,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,41,50,b4:5d:50:ce:2e:8a,0
170,14:f6:5a:b3:e7:f1,Android,38:17:c3:c8:01:da,AC,51,54,38:17:c3:c8:01:da,0
171,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,49,50,b4:5d:50:ce:2e:8a,0
172,14:f6:5a:b3:e7:f1,Android,38:17:c3:c8:01:da,GN,49,48,38:17:c3:c8:01:da,1
173,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,56,53,b4:5d:50:ce:2e:8a,1
174,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,GN,51,53,b4:5d:50:ce:2e:8a,0
175,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,61,63,38:17:c3:c8:01:da,0
176,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,59,b4:5d:50:ce:2e:8a,0
177,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,59,63,38:17:c3:c8:01:da,0
178,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,60,b4:5d:50:ce:2e:8a,0
179,14:f6:5a:b3:e7:f1,Android,38:17:c3:c8:01:da,AC,50,48,b4:5d:50:ce:2e:8a,1
180,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,59,b4:5d:50:ce:2e:8a,0
181,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,61,64,38:17:c3:c8:01:da,0
182,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,53,60,b4:5d:50:ce:2e:8a,0
183,14:f6:5a:b3:e7:f1,Android,38:17:c3:c8:01:da,AC,48,50,b4:5d:50:ce:2e:8a,1
184,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,61,b4:5d:50:ce:2e:8a,0
185,8c:85:90:b1:d0:3b,OS-X,38:17:c3:c8:01:da,AC,61,60,38:17:c3:c8:01:da,1
186,3c:6a:a7:27:9d:b3,Win-10,b4:5d:50:ce:2e:8a,AC,54,61,b4:5d:50:ce:2e:8a,0
